COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
dtCalculo,2,datetime2,YES,NULL,NULL,NULL,0
cdCliente,3,bigint,YES,NULL,19,0,0
nmCliente,4,nvarchar,YES,500,NULL,NULL,0
qdFornecedores,5,bigint,YES,NULL,19,0,0
nmFornPrinciapl,6,nvarchar,YES,500,NULL,NULL,0
tipoEstoque,7,bigint,YES,NULL,19,0,0
codigoProduto,8,nvarchar,YES,500,NULL,NULL,0
tipoProduto,9,bigint,YES,NULL,19,0,0
dim01,10,float,YES,NULL,53,NULL,0
dim02,11,float,YES,NULL,53,NULL,0
dim03,12,float,YES,NULL,53,NULL,0
cdEntidade,13,bigint,YES,NULL,19,0,0
descricao,14,nvarchar,YES,500,NULL,NULL,0
familia,15,nvarchar,YES,500,NULL,NULL,0
subFamilia,16,nvarchar,YES,500,NULL,NULL,0
cdUnidade,17,bigint,YES,NULL,19,0,0
prazo,18,bigint,YES,NULL,19,0,0
dsContaContabil,19,nvarchar,YES,500,NULL,NULL,0
contaAnalitica,20,nvarchar,YES,500,NULL,NULL,0
