COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
cd_ppap,2,nvarchar,YES,500,NULL,NULL,0
cd_ppap_rev,3,int,YES,NULL,10,0,0
cd_tipo_estoq,4,nvarchar,YES,500,NULL,NULL,0
cd_produto,5,nvarchar,YES,500,NULL,NULL,0
cd_tipo_produto,6,nvarchar,YES,500,NULL,NULL,0
dt_dum,7,datetime2,YES,NULL,NULL,NULL,0
cd_revisao_desenho,8,nvarchar,YES,500,NULL,NULL,0
cd_nivel_submissao,9,nvarchar,YES,500,NULL,NULL,0
ic_novo_desenvol,10,bit,YES,NULL,NULL,NULL,0
dt_envio_amostras,11,datetime2,YES,NULL,NULL,NULL,0
qd_amostras,12,int,YES,NULL,10,0,0
dt_receb_adp,13,datetime2,YES,NULL,NULL,NULL,0
cd_status,14,nvarchar,YES,500,NULL,NULL,0
dt_disposicao,15,datetime2,YES,NULL,NULL,NULL,0
cd_func_resp,16,int,YES,NULL,10,0,0
dt_inicio_forn,17,datetime2,YES,NULL,NULL,NULL,0
dt_fim_forn,18,datetime2,YES,NULL,NULL,NULL,0
ds_comentario,19,nvarchar,YES,500,NULL,NULL,0
cd_tarifa,20,bigint,YES,NULL,19,0,0
