COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
cd_ppap,2,nvarchar,YES,500,NULL,NULL,0
ds_ppap,3,nvarchar,YES,500,NULL,NULL,0
cd_tipo_estoqu,4,nvarchar,YES,500,NULL,NULL,0
cd_produto,5,nvarchar,YES,500,NULL,NULL,0
cd_tipo_produto,6,nvarchar,YES,500,NULL,NULL,0
vl_dim01,7,nvarchar,YES,500,NULL,NULL,0
vl_dim02,8,nvarchar,YES,500,NULL,NULL,0
vl_dim03,9,nvarchar,YES,500,NULL,NULL,0
dt_dum,10,datetime2,YES,NULL,NULL,NULL,0
cd_revisao,11,nvarchar,YES,500,NULL,NULL,0
cd_fornecedor,12,int,YES,NULL,10,0,0
dt_recebimento,13,datetime2,YES,NULL,NULL,NULL,0
cd_nivel,14,int,YES,NULL,10,0,0
vl_status,15,int,YES,NULL,10,0,0
dt_disposicao,16,datetime2,YES,NULL,NULL,NULL,0
cd_func_resp_disp,17,int,YES,NULL,10,0,0
dt_inicio_fornec,18,datetime2,YES,NULL,NULL,NULL,0
dt_fim_fornec,19,datetime2,YES,NULL,NULL,NULL,0
ds_comentario,20,nvarchar,YES,500,NULL,NULL,0
