COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
cd_ppap,2,nvarchar,YES,500,NULL,NULL,0
ds_ppap,3,nvarchar,YES,500,NULL,NULL,0
cd_processo,4,nvarchar,YES,500,NULL,NULL,0
cd_atividade,5,nvarchar,YES,500,NULL,NULL,0
dt_dum,6,datetime2,YES,NULL,NULL,NULL,0
cd_revisao,7,nvarchar,YES,500,NULL,NULL,0
cd_fornecedor,8,int,YES,NULL,10,0,0
dt_recebimento,9,datetime2,YES,NULL,NULL,NULL,0
cd_nivel,10,int,YES,NULL,10,0,0
vl_status,11,int,YES,NULL,10,0,0
dt_disposicao,12,datetime2,YES,NULL,NULL,NULL,0
cd_func_resp_disp,13,int,YES,NULL,10,0,0
dt_inicio_fornec,14,datetime2,YES,NULL,NULL,NULL,0
dt_fim_fornec,15,datetime2,YES,NULL,NULL,NULL,0
ds_comentario,16,nvarchar,YES,500,NULL,NULL,0
