COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
cd_fornecedor,1,int,YES,NULL,10,0,0
cd_pedido,2,int,YES,NULL,10,0,0
cd_item_pedido,3,int,YES,NULL,10,0,0
cd_recebimento,4,int,YES,NULL,10,0,0
nm_cnpj,5,nvarchar,YES,500,NULL,NULL,0
cd_nota_fiscal,6,int,YES,NULL,10,0,0
cd_item_nota_fiscal,7,int,YES,NULL,10,0,0
nm_ncm,8,nvarchar,YES,500,NULL,NULL,0
nm_cfop,9,nvarchar,YES,500,NULL,NULL,0
nm_lote,10,nvarchar,YES,500,NULL,NULL,0
vl_quantidade,11,nvarchar,YES,500,NULL,NULL,0
vl_unitario,12,nvarchar,YES,500,NULL,NULL,0
vl_total,13,nvarchar,YES,500,NULL,NULL,0
vl_base_calculo,14,nvarchar,YES,500,NULL,NULL,0
pc_ipi,15,nvarchar,YES,500,NULL,NULL,0
vl_ipi,16,nvarchar,YES,500,NULL,NULL,0
pc_icms,17,nvarchar,YES,500,NULL,NULL,0
vl_icms,18,nvarchar,YES,500,NULL,NULL,0
pc_pis,19,nvarchar,YES,500,NULL,NULL,0
vl_pis,20,nvarchar,YES,500,NULL,NULL,0
