COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
dt_faturamento,2,datetime2,YES,NULL,NULL,NULL,0
cd_cliente,3,bigint,YES,NULL,19,0,0
nm_cliente,4,nvarchar,YES,500,NULL,NULL,0
cd_nf,5,bigint,YES,NULL,19,0,0
cd_item_nf,6,bigint,YES,NULL,19,0,0
cd_fe,7,bigint,YES,NULL,19,0,0
cd_item_fe,8,bigint,YES,NULL,19,0,0
cd_ped_venda,9,bigint,YES,NULL,19,0,0
cd_ped_venda_item,10,bigint,YES,NULL,19,0,0
cd_cadencia,11,bigint,YES,NULL,19,0,0
cd_of,12,bigint,YES,NULL,19,0,0
cd_tipo_estoque,13,bigint,YES,NULL,19,0,0
cd_tipo_produto,14,bigint,YES,NULL,19,0,0
nm_peca,15,nvarchar,YES,500,NULL,NULL,0
dim01,16,float,YES,NULL,53,NULL,0
dim02,17,float,YES,NULL,53,NULL,0
dim03,18,float,YES,NULL,53,NULL,0
cd_entidade,19,bigint,YES,NULL,19,0,0
ds_produto,20,nvarchar,YES,500,NULL,NULL,0
