COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
idRelatorioCusto,2,bigint,YES,NULL,19,0,0
cdTipoCusto,3,nvarchar,YES,500,NULL,NULL,0
cdTipoEstoque,4,nvarchar,YES,500,NULL,NULL,0
cdTipoProduto,5,bigint,YES,NULL,19,0,0
cdProduto,6,nvarchar,YES,500,NULL,NULL,0
dim01,7,float,YES,NULL,53,NULL,0
dim02,8,float,YES,NULL,53,NULL,0
dim03,9,float,YES,NULL,53,NULL,0
cdEntidadeEstoque,10,bigint,YES,NULL,19,0,0
descricao,11,nvarchar,YES,500,NULL,NULL,0
vlPrevisto,12,float,YES,NULL,53,NULL,0
vlReal,13,float,YES,NULL,53,NULL,0
necessidadePrevista,14,float,YES,NULL,53,NULL,0
necessidadeReal,15,float,YES,NULL,53,NULL,0
unidade,16,nvarchar,YES,500,NULL,NULL,0
comentario,17,nvarchar,YES,500,NULL,NULL,0
pesoUnitario,18,float,YES,NULL,53,NULL,0
pesoTotal,19,float,YES,NULL,53,NULL,0
familia,20,nvarchar,YES,500,NULL,NULL,0
