COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
cd_representante,1,int,YES,NULL,10,0,0
cd_web_id,2,nvarchar,YES,500,NULL,NULL,0
nm_fantasia,3,nvarchar,YES,500,NULL,NULL,0
nm_razao_social,4,nvarchar,YES,500,NULL,NULL,0
nm_cnpj,5,nvarchar,YES,500,NULL,NULL,0
nm_ie,6,nvarchar,YES,500,NULL,NULL,0
nm_endereco,7,nvarchar,YES,500,NULL,NULL,0
nm_numero,8,nvarchar,YES,500,NULL,NULL,0
nm_complemento,9,nvarchar,YES,500,NULL,NULL,0
nm_pais,10,nvarchar,YES,500,NULL,NULL,0
nm_uf,11,nvarchar,YES,500,NULL,NULL,0
nm_cidade,12,nvarchar,YES,500,NULL,NULL,0
nm_bairro,13,nvarchar,YES,500,NULL,NULL,0
nm_cep,14,nvarchar,YES,500,NULL,NULL,0
nm_contato,15,nvarchar,YES,500,NULL,NULL,0
nm_telefone,16,nvarchar,YES,500,NULL,NULL,0
nm_celular,17,nvarchar,YES,500,NULL,NULL,0
pc_comissao,18,nvarchar,YES,500,NULL,NULL,0
cd_tabela,19,int,YES,NULL,10,0,0
nm_email,20,nvarchar,YES,500,NULL,NULL,0
