COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
ID,1,int,YES,NULL,10,0,0
ic_fechado,2,bit,YES,NULL,NULL,NULL,0
dt_recebimento,3,datetime2,YES,NULL,NULL,NULL,0
cd_grupo_estoque,4,nvarchar,YES,500,NULL,NULL,0
cd_tipo_produto,5,nvarchar,YES,500,NULL,NULL,0
cd_produto,6,nvarchar,YES,500,NULL,NULL,0
vl_dim01,7,nvarchar,YES,500,NULL,NULL,0
vl_dim02,8,nvarchar,YES,500,NULL,NULL,0
vl_dim03,9,nvarchar,YES,500,NULL,NULL,0
cd_entidade,10,int,YES,NULL,10,0,0
qd_recebida,11,nvarchar,YES,500,NULL,NULL,0
qd_devolvida,12,nvarchar,YES,500,NULL,NULL,0
cd_lote,13,nvarchar,YES,500,NULL,NULL,0
cd_nf_recebimento,14,int,YES,NULL,10,0,0
cd_item_nf_receb,15,int,YES,NULL,10,0,0
cd_produto_recebido,16,nvarchar,YES,500,NULL,NULL,0
cd_nfe,17,nvarchar,YES,500,NULL,NULL,0
vl_unitario,18,nvarchar,YES,500,NULL,NULL,0
ds_item_nf_receb,19,nvarchar,YES,500,NULL,NULL,0
nm_unidade,20,nvarchar,YES,500,NULL,NULL,0
