COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
Type,2,nvarchar,YES,500,NULL,NULL,0
Num_Bon,3,bigint,YES,NULL,19,0,0
Date_stp_b,4,datetime2,YES,NULL,NULL,NULL,0
Sec_cent,5,bigint,YES,NULL,19,0,0
H_Min,6,int,YES,NULL,10,0,0
Code_Impro,7,int,YES,NULL,10,0,0
Code_Ope,8,int,YES,NULL,10,0,0
Etat_Bon,9,nvarchar,YES,500,NULL,NULL,0
Type_Ressource,10,nvarchar,YES,500,NULL,NULL,0
Code_Ressource,11,int,YES,NULL,10,0,0
OP_Time,12,int,YES,NULL,10,0,0
Tps_Passe_Reglage,13,nvarchar,YES,500,NULL,NULL,0
Tps_passe_Usin,14,nvarchar,YES,500,NULL,NULL,0
Tps_passe_Ctrl,15,nvarchar,YES,500,NULL,NULL,0
Id_Multi_Bon,16,bigint,YES,NULL,19,0,0
Qte_Terminee,17,bigint,YES,NULL,19,0,0
Qte_Bonne,18,bigint,YES,NULL,19,0,0
Qte_Rebutee,19,bigint,YES,NULL,19,0,0
Remarque,20,nvarchar,YES,500,NULL,NULL,0
