COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
cd_funcionario,2,int,YES,NULL,10,0,0
cd_produto,3,nvarchar,YES,500,NULL,NULL,0
cd_tipo_estoque,4,int,YES,NULL,10,0,0
cd_tipo_produto,5,int,YES,NULL,10,0,0
vl_dimensao_01,6,float,YES,NULL,53,NULL,0
vl_dimensao_02,7,float,YES,NULL,53,NULL,0
vl_dimensao_03,8,float,YES,NULL,53,NULL,0
cd_entidade,9,int,YES,NULL,10,0,0
cd_tipo_recurso,10,int,YES,NULL,10,0,0
cd_recurso,11,int,YES,NULL,10,0,0
ds_proposta,12,nvarchar,YES,500,NULL,NULL,0
ic_viabilidade,13,int,YES,NULL,10,0,0
cd_grau_importancia,14,int,YES,NULL,10,0,0
ds_comentario,15,nvarchar,YES,500,NULL,NULL,0
cd_status,16,int,YES,NULL,10,0,0
dt_conclusao,17,datetime2,YES,NULL,NULL,NULL,0
cd_eficacia,18,int,YES,NULL,10,0,0
ic_processo,19,bit,YES,NULL,NULL,NULL,0
ic_maquina,20,bit,YES,NULL,NULL,NULL,0
