COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
cd_cnpj,2,nvarchar,YES,500,NULL,NULL,0
nm_razao_social,3,nvarchar,YES,500,NULL,NULL,0
nm_fantasia,4,nvarchar,YES,500,NULL,NULL,0
nm_endereco,5,nvarchar,YES,500,NULL,NULL,0
nm_bairro,6,nvarchar,YES,500,NULL,NULL,0
id_cidade,7,int,YES,NULL,10,0,0
id_estado,8,int,YES,NULL,10,0,0
cd_postal,9,nvarchar,YES,500,NULL,NULL,0
cd_pais,10,int,YES,NULL,10,0,0
nm_telefone,11,nvarchar,YES,500,NULL,NULL,0
cd_insc_estadual,12,nvarchar,YES,500,NULL,NULL,0
nm_email,13,nvarchar,YES,500,NULL,NULL,0
nm_site,14,nvarchar,YES,500,NULL,NULL,0
nm_cidade,15,nvarchar,YES,500,NULL,NULL,0
nm_estado,16,nvarchar,YES,500,NULL,NULL,0
nm_pais,17,nvarchar,YES,500,NULL,NULL,0
im_logo,18,varbinary,YES,-1,NULL,NULL,0
nm_email_nfe,19,nvarchar,YES,500,NULL,NULL,0
nm_email_financeiro,20,nvarchar,YES,500,NULL,NULL,0
