COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
id_solicitacao,2,int,YES,NULL,10,0,0
ic_nao_cotar,3,bit,YES,NULL,NULL,NULL,0
cd_status,4,int,YES,NULL,10,0,0
nm_pai,5,nvarchar,YES,500,NULL,NULL,0
cd_tipo_material,6,int,YES,NULL,10,0,0
cd_grupo_estoque,7,int,YES,NULL,10,0,0
cd_tipo_produto,8,int,YES,NULL,10,0,0
cd_produto,9,nvarchar,YES,500,NULL,NULL,0
vl_dimensao_01,10,float,YES,NULL,53,NULL,0
vl_dimensao_02,11,float,YES,NULL,53,NULL,0
vl_dimensao_03,12,float,YES,NULL,53,NULL,0
cd_entidade_estoque,13,int,YES,NULL,10,0,0
cd_processo,14,nvarchar,YES,500,NULL,NULL,0
cd_fase,15,int,YES,NULL,10,0,0
nm_atividade,16,nvarchar,YES,500,NULL,NULL,0
cd_fornecedor,17,int,YES,NULL,10,0,0
cd_unidade_estoque,18,int,YES,NULL,10,0,0
cd_unidade_sol,19,int,YES,NULL,10,0,0
vl_conversao,20,float,YES,NULL,53,NULL,0
