COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
codigo,1,int,YES,NULL,10,0,0
descricao,2,nvarchar,YES,500,NULL,NULL,0
comentario,3,nvarchar,YES,500,NULL,NULL,0
topId,4,bigint,YES,NULL,19,0,0
cdTabelaPai,5,bigint,YES,NULL,19,0,0
pcDescontoMaximo,6,float,YES,NULL,53,NULL,0
pcDescontoTabelaPai,7,float,YES,NULL,53,NULL,0
icTabelaDerivada,8,bit,YES,NULL,NULL,NULL,0
cdSociedade,9,bigint,YES,NULL,19,0,0
pcPreparacao,10,float,YES,NULL,53,NULL,0
pcProducao,11,float,YES,NULL,53,NULL,0
pcTotalProducao,12,float,YES,NULL,53,NULL,0
pcMateria,13,float,YES,NULL,53,NULL,0
pcComponentes,14,float,YES,NULL,53,NULL,0
pcTerceiros,15,float,YES,NULL,53,NULL,0
pcPeca,16,float,YES,NULL,53,NULL,0
pcPecaAdic,17,float,YES,NULL,53,NULL,0
