COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
cd_assunto,2,int,YES,NULL,10,0,0
dt_solicitacao,3,datetime2,YES,NULL,NULL,NULL,0
dt_conclusao,4,datetime2,YES,NULL,NULL,NULL,0
ic_concluido,5,bit,YES,NULL,NULL,NULL,0
cd_status,6,int,YES,NULL,10,0,0
cd_solicitante,7,int,YES,NULL,10,0,0
cd_solicitado,8,int,YES,NULL,10,0,0
nm_titulo,9,nvarchar,YES,500,NULL,NULL,0
nm_solicitacao,10,nvarchar,YES,500,NULL,NULL,0
nm_resposta,11,nvarchar,YES,500,NULL,NULL,0
cd_prioridade,12,int,YES,NULL,10,0,0
pc_concluido,13,int,YES,NULL,10,0,0
dt_previsao_entrega,14,datetime2,YES,NULL,NULL,NULL,0
cd_departamento,15,int,YES,NULL,10,0,0
nm_origem,16,nvarchar,YES,500,NULL,NULL,0
dt_email,17,datetime2,YES,NULL,NULL,NULL,0
cd_tipo_ligacao,18,bigint,YES,NULL,19,0,0
cd_ligacao,19,bigint,YES,NULL,19,0,0
cd_ligacao_item,20,bigint,YES,NULL,19,0,0
