COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
ic_bloquear,2,bit,YES,NULL,NULL,NULL,0
Def_Tarif,3,nvarchar,YES,500,NULL,NULL,0
Lien_Tarif,4,nvarchar,YES,500,NULL,NULL,0
Code_Fst,5,bigint,YES,NULL,19,0,0
Code_Tarif,6,bigint,YES,NULL,19,0,0
Groupe_Stock,7,nvarchar,YES,500,NULL,NULL,0
Type_Stock,8,nvarchar,YES,500,NULL,NULL,0
Reference_Article,9,nvarchar,YES,500,NULL,NULL,0
Dim1,10,nvarchar,YES,500,NULL,NULL,0
Dim2,11,nvarchar,YES,500,NULL,NULL,0
Dim3,12,nvarchar,YES,500,NULL,NULL,0
Code_Client_Stock,13,bigint,YES,NULL,19,0,0
Qte_de,14,float,YES,NULL,53,NULL,0
Qte_a,15,float,YES,NULL,53,NULL,0
Delai,16,bigint,YES,NULL,19,0,0
Reference_Externe,17,nvarchar,YES,500,NULL,NULL,0
Designation,18,nvarchar,YES,500,NULL,NULL,0
Fst_Principal,19,bit,YES,NULL,NULL,NULL,0
Delai_Moyen,20,bigint,YES,NULL,19,0,0
