COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
def_tarif,2,nvarchar,YES,500,NULL,NULL,0
lien_tarif,3,nvarchar,YES,500,NULL,NULL,0
code_fst,4,bigint,YES,NULL,19,0,0
code_tarif,5,bigint,YES,NULL,19,0,0
group_stock,6,nvarchar,YES,500,NULL,NULL,0
type_stock,7,nvarchar,YES,500,NULL,NULL,0
reference_article,8,nvarchar,YES,500,NULL,NULL,0
dim1,9,nvarchar,YES,500,NULL,NULL,0
dim2,10,nvarchar,YES,500,NULL,NULL,0
dim3,11,nvarchar,YES,500,NULL,NULL,0
code_client_stock,12,bigint,YES,NULL,19,0,0
qte_de,13,float,YES,NULL,53,NULL,0
pc_pis,14,decimal,YES,NULL,18,6,0
pc_cofins,15,decimal,YES,NULL,18,6,0
pc_ipi,16,decimal,YES,NULL,18,6,0
pc_icms,17,decimal,YES,NULL,18,6,0
pc_desp_financ,18,decimal,YES,NULL,18,6,0
pc_frete,19,decimal,YES,NULL,18,6,0
pc_lucro,20,decimal,YES,NULL,18,6,0
