COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
cd_cnpj,1,nvarchar,YES,500,NULL,NULL,0
cd_nota_fiscal,2,int,YES,NULL,10,0,0
gps_cd_tipo_entidade,3,int,YES,NULL,10,0,0
gps_cd_entidade,4,int,YES,NULL,10,0,0
cd_versao,5,nvarchar,YES,500,NULL,NULL,0
cd_chave,6,nvarchar,YES,500,NULL,NULL,0
cd_uf_nf,7,nvarchar,YES,500,NULL,NULL,0
nm_natureza_operacao,8,nvarchar,YES,500,NULL,NULL,0
cd_indicador_pgto,9,int,YES,NULL,10,0,0
cd_modelo_doc_fiscal,10,nvarchar,YES,500,NULL,NULL,0
cd_serie,11,nvarchar,YES,500,NULL,NULL,0
dt_emissao,12,datetime2,YES,NULL,NULL,NULL,0
dt_saida,13,datetime2,YES,NULL,NULL,NULL,0
tm_saida,14,nvarchar,YES,500,NULL,NULL,0
cd_tipo_operacao,15,int,YES,NULL,10,0,0
cd_municipio,16,nvarchar,YES,500,NULL,NULL,0
cd_tipo_emissao_nfe,17,int,YES,NULL,10,0,0
cd_digito_verif,18,nvarchar,YES,500,NULL,NULL,0
cd_tipo_ambiente,19,int,YES,NULL,10,0,0
cd_finalidade_nfe,20,int,YES,NULL,10,0,0
