COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
cd_cnpj_cpf,1,nvarchar,YES,500,NULL,NULL,0
nm_entidade,2,nvarchar,YES,500,NULL,NULL,0
nm_fantasia,3,nvarchar,YES,500,NULL,NULL,0
nm_endereco,4,nvarchar,YES,500,NULL,NULL,0
nm_numero,5,nvarchar,YES,500,NULL,NULL,0
nm_complemento,6,nvarchar,YES,500,NULL,NULL,0
nm_bairro,7,nvarchar,YES,500,NULL,NULL,0
cd_municipio,8,int,YES,NULL,10,0,0
nm_municipio,9,nvarchar,YES,500,NULL,NULL,0
cd_uf,10,int,YES,NULL,10,0,0
nm_uf,11,nvarchar,YES,500,NULL,NULL,0
cd_cep,12,nvarchar,YES,500,NULL,NULL,0
cd_pais,13,int,YES,NULL,10,0,0
nm_pais,14,nvarchar,YES,500,NULL,NULL,0
nm_telefone,15,nvarchar,YES,500,NULL,NULL,0
nm_ie,16,nvarchar,YES,500,NULL,NULL,0
nm_ie_sub_tributario,17,nvarchar,YES,500,NULL,NULL,0
nm_inscr_municipal,18,nvarchar,YES,500,NULL,NULL,0
nm_cnae_fiscal,19,nvarchar,YES,500,NULL,NULL,0
cd_regime_tribut,20,int,YES,NULL,10,0,0
