COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
cd_cnpj,1,nvarchar,YES,500,NULL,NULL,0
cd_nota_fiscal,2,int,YES,NULL,10,0,0
cd_item,3,int,YES,NULL,10,0,0
dt_emissao,4,datetime2,YES,NULL,NULL,NULL,0
cd_tipo_entidade_gps,5,nvarchar,YES,500,NULL,NULL,0
cd_entidade_gps,6,int,YES,NULL,10,0,0
cd_pedido_gps,7,int,YES,NULL,10,0,0
cd_pedido_item_gps,8,int,YES,NULL,10,0,0
cd_ped_item_rec_gps,9,int,YES,NULL,10,0,0
cd_tipo_estoque_gps,10,nvarchar,YES,500,NULL,NULL,0
nm_produto_gps,11,nvarchar,YES,500,NULL,NULL,0
cd_tipo_produto_gps,12,nvarchar,YES,500,NULL,NULL,0
vl_dim_01_gps,13,nvarchar,YES,500,NULL,NULL,0
vl_dim_02_gps,14,nvarchar,YES,500,NULL,NULL,0
vl_dim_03_gps,15,nvarchar,YES,500,NULL,NULL,0
nm_produto,16,nvarchar,YES,500,NULL,NULL,0
cd_ean,17,nvarchar,YES,500,NULL,NULL,0
ds_produto,18,nvarchar,YES,500,NULL,NULL,0
cd_ncm,19,nvarchar,YES,500,NULL,NULL,0
cd_ex_tipi,20,nvarchar,YES,500,NULL,NULL,0
