COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
cd_banco_ch,2,nvarchar,YES,-1,NULL,NULL,0
nm_banco_ch,3,nvarchar,YES,-1,NULL,NULL,0
cd_agencia_ch,4,nvarchar,YES,-1,NULL,NULL,0
cd_conta_corrente_ch,5,nvarchar,YES,-1,NULL,NULL,0
cd_cheque,6,nvarchar,YES,-1,NULL,NULL,0
dt_emissao_ch,7,datetime2,YES,NULL,NULL,NULL,0
dt_vencimento_ch,8,datetime2,YES,NULL,NULL,NULL,0
cd_cpf_correntista,9,nvarchar,YES,-1,NULL,NULL,0
nm_correntista,10,nvarchar,YES,-1,NULL,NULL,0
vl_cheque,11,float,YES,NULL,53,NULL,0
cd_tipo_entidade_ch,12,bigint,YES,NULL,19,0,0
cd_entidade_ch,13,bigint,YES,NULL,19,0,0
cd_cnpj_ch,14,nvarchar,YES,-1,NULL,NULL,0
nm_entidade_ch,15,nvarchar,YES,-1,NULL,NULL,0
vl_baixa_rcbto,16,float,YES,NULL,53,NULL,0
dt_baixa,17,datetime2,YES,NULL,NULL,NULL,0
cd_tipo_entidade_for,18,bigint,YES,NULL,19,0,0
cd_entidade_for,19,bigint,YES,NULL,19,0,0
vl_baixa_for,20,float,YES,NULL,53,NULL,0
