COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
cd_status,2,bigint,YES,NULL,19,0,0
cd_cotacao,3,bigint,YES,NULL,19,0,0
cd_solic_cotacao,4,bigint,YES,NULL,19,0,0
cd_entidade,5,bigint,YES,NULL,19,0,0
cd_tipo_entidade,6,bigint,YES,NULL,19,0,0
cd_grupo_estoque,7,bigint,YES,NULL,19,0,0
cd_tipo_estoque,8,bigint,YES,NULL,19,0,0
nm_produto,9,nvarchar,YES,-1,NULL,NULL,0
vl_d1,10,float,YES,NULL,53,NULL,0
vl_d2,11,float,YES,NULL,53,NULL,0
vl_d3,12,float,YES,NULL,53,NULL,0
cd_entidade_estoque,13,bigint,YES,NULL,19,0,0
vl_quantidade,14,float,YES,NULL,53,NULL,0
vl_necessidade,15,float,YES,NULL,53,NULL,0
cd_unidade,16,bigint,YES,NULL,19,0,0
ic_enviar_esp_tec,17,bit,YES,NULL,NULL,NULL,0
nm_processo_controle,18,nvarchar,YES,-1,NULL,NULL,0
cd_revisao_proc_ctrl,19,bigint,YES,NULL,19,0,0
nm_desenho,20,nvarchar,YES,-1,NULL,NULL,0
