COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,int,YES,NULL,10,0,0
dt_registro,2,datetime2,YES,NULL,NULL,NULL,0
cd_func,3,bigint,YES,NULL,19,0,0
cd_projeto,4,bigint,YES,NULL,19,0,0
cd_of,5,bigint,YES,NULL,19,0,0
cd_ficha,6,bigint,YES,NULL,19,0,0
cd_omega,7,nvarchar,YES,500,NULL,NULL,0
cd_conjunto,8,nvarchar,YES,500,NULL,NULL,0
id_componente,9,bigint,YES,NULL,19,0,0
id_comp_alt,10,bigint,YES,NULL,19,0,0
id_feeler,11,bigint,YES,NULL,19,0,0
id_cmd_pos,12,bigint,YES,NULL,19,0,0
cd_lote,13,nvarchar,YES,500,NULL,NULL,0
dt_validade_lt,14,datetime2,YES,NULL,NULL,NULL,0
